token	codepoint	category	count	first_book	first_main	first_sub	first_title	ids
󐣹	U+D08F9	Cn	476	正文	祖	且	󐣹祖癸觚	
󐑍	U+D044D	Cn	430	正文	一	𫜢	中山王󐑍壺	
󐀕	U+D0015	Cn	163	正文	黹	黹	黹󐨙󐀕爵	
󐨙	U+D0A19	Cn	162	正文	單	單	子󐨙單爵	
󐤧	U+D0927	Cn	138	正文	天	天	亞疋󐤧鉞	
󐕱	U+D0571	Cn	127	正文	若	若	彔伯󐕱簋蓋	
󐤉	U+D0909	Cn	127	正文	祖	祖	󐤉祖乙尊	
󐤩	U+D0929	Cn	105	單一族徽	單一族徽第44組	單一族徽第44組	󐤩卣蓋	
󐤈	U+D0908	Cn	89	正文	乙	乙	󐤈父乙甗	
󐓨	U+D04E8	Cn	83	正文	尊	尊	󑚝󐓨卣	
󐣧	U+D08E7	Cn	80	正文	祖	且	󐣧祖丁鼎	
󐔦	U+D0526	Cn	67	正文	元	元	曾伯󐔦簠蓋	
󐧝	U+D09DD	Cn	67	正文	󐧝	󐧝	󐤧甗	
󐵔	U+D0D54	Cn	65	正文	祈	𰒃	󐵔子楚鼎	
󐤛	U+D091B	Cn	61	單一族徽	單一族徽第11組	單一族徽第11組	󐤛父丁鼎	
󐥝	U+D095D	Cn	60	單一族徽	單一族徽第287組	單一族徽第287組	󐥝簋	
󐤽	U+D093D	Cn	52	正文	竹	竹	亞󐤽孤竹鼎	
󐮩	U+D0BA9	Cn	51	正文	三	三	楚王酓󐮩鼎	
󐔱	U+D0531	Cn	48	正文	芋	芋	鄭令郭󐔱矛	
󐥞	U+D095E	Cn	48	單一族徽	單一族徽第288組	單一族徽第288組	󐥞觚	
󐇥	U+D01E5	Cn	42	正文	圍	󐇥	󐇥爵	
󐣱	U+D08F1	Cn	42	正文	兄	兄	󐣱兄辛觶蓋	
󐭻	U+D0B7B	Cn	42	正文	󐍀	󐍀	󐍀叔󐭻鼎	
󐄏	U+D010F	Cn	40	正文	祖	且	󐄏簋	
󐤌	U+D090C	Cn	39	正文	齊	齊	󐤌齊婛尊	
󐥵	U+D0975	Cn	39	複合族徽	西單󐥵	西單󐥵	󐥠西單爵	
󐅳	U+D0173	Cn	38	正文	󐅳	󐅳	闢斝	
󐧂	U+D09C2	Cn	38	正文	何	何	何父癸󐧂簋	
󐦎	U+D098E	Cn	36	正文	𧯦	𧯦	𣐺󐦎𧯦簋	
󐱠	U+D0C60	Cn	36	正文	唐	唐	宋公󐱠鼎	
󰄕	U+F0115	Co	36	正文	三	三	文󰄕己觥	
󐥳	U+D0973	Cn	34	正文	冊	冊	臣辰󐥳冊父乙簋	
󐤋	U+D090B	Cn	32	單一族徽	單一族徽第238組	單一族徽第238組	󐤋鼎	
󐌊	U+D030A	Cn	30	單一族徽	單一族徽第507組	單一族徽第507組	󐌊觚	
󐥢	U+D0962	Cn	29	複合族徽	車󐥢	車󐥢	車󐥢鼎	
󐬆	U+D0B06	Cn	29	正文	命	命	󐬆盂	
󐊝	U+D029D	Cn	28	單一族徽	單一族徽第465組	單一族徽第465組	󐊝鼎	
󐦕	U+D0995	Cn	28	正文	保	󐦕	太保鼎	
󐦟	U+D099F	Cn	28	單一族徽	單一族徽第340組	單一族徽第340組	󐦟婦觶蓋	
󑞭	U+D17AD	Cn	28	正文	祈	󑞮	諻󑞭缶乙	
󐀀	U+D0000	Cn	27	正文	周	周	周󐀀大父己爵	
󐔷	U+D0537	Cn	26	正文	󐔷	󐔷	束仲豆父簋蓋	
󐔹	U+D0539	Cn	26	單一族徽	單一族徽第269組	單一族徽第269組	󐔹鼎	
󐮋	U+D0B8B	Cn	26	正文	三	三	󐮋鼎	
󑊄	U+D1284	Cn	26	單一族徽	單一族徽第457組	單一族徽第457組	󑊄辛觶	
󐦄	U+D0984	Cn	25	單一族徽	單一族徽第320組	單一族徽第320組	󐦄爵	
󐦋	U+D098B	Cn	25	單一族徽	單一族徽第51組	單一族徽第51組	󐦋爵	
󐩥	U+D0A65	Cn	25	正文	鑄	󐩥	太保都盤	
󐤫	U+D092B	Cn	24	單一族徽	單一族徽第262組	單一族徽第262組	癸󐤫卣蓋	
󐤴	U+D0934	Cn	24	正文	썷	썷	婦󐤴觚	
󐪅	U+D0A85	Cn	24	正文	䀠	䀠	󐪅伯󐨠鼎	
󐯊	U+D0BCA	Cn	24	正文	𫭠	𫭠	平陽皇󐯊殘片	
󐱅	U+D0C45	Cn	24	正文	小	小	師󐱅鼎	
󑭅	U+D1B45	Cn	24	正文	唯	𨾟	攻吳王姑讎亓󑭅劍	
󐀣	U+D0023	Cn	22	正文	蔡	󐀣	蔡爵	
󑀛	U+D101B	Cn	22	正文	茆	茆	󑀛史簋乙	
󐆮	U+D01AE	Cn	21	正文	蔑	蔑	小子󐆮卣蓋	
󐊨	U+D02A8	Cn	21	複合族徽	南󐊨	南󐊨	南󐊨爵	
󐣮	U+D08EE	Cn	21	正文	󐣮	󐣮	肅卣	
󐨐	U+D0A10	Cn	21	正文	馭	󐨐	馭卣	
󐫅	U+D0AC5	Cn	21	正文	𩒳	󐫅	梁其壺甲蓋	
󑆝	U+D119D	Cn	21	複合族徽	萈󑆝	萈󑆝	󑆝羊爵	
󐋮	U+D02EE	Cn	20	正文	攸	攸	󐋮罍	
󐍀	U+D0340	Cn	20	正文	󐍀	󐍀	𫮩鼎	
󐔻	U+D053B	Cn	20	正文	歲	歲	蒍夫人󐔻鼎	
󐩗	U+D0A57	Cn	20	正文	󐩗	󐩗	󐩗鼎	
󐷩	U+D0DE9	Cn	20	正文	歸	歸	王人󐷩輔甗	
󐍝	U+D035D	Cn	19	正文	頾	髭	聑髭婦󐍝爵	
󐤊	U+D090A	Cn	19	單一族徽	單一族徽第237組	單一族徽第237組	󐤊父己鼎	
󑀝	U+D101D	Cn	19	正文	𪱪	󑀝	滕侯鼎蓋	
