token	codepoint	ids	note
󐣹	U+D08F9		
󐑍	U+D044D		
󐀕	U+D0015		
󐨙	U+D0A19		
󐤧	U+D0927		
󐕱	U+D0571		
󐤉	U+D0909		
󐤩	U+D0929		
󐤈	U+D0908		
󐓨	U+D04E8		
󐣧	U+D08E7		
󐔦	U+D0526		
󐧝	U+D09DD		
󐵔	U+D0D54		
󐤛	U+D091B		
󐥝	U+D095D		
󐤽	U+D093D		
󐮩	U+D0BA9		
󐔱	U+D0531		
󐥞	U+D095E		
󐇥	U+D01E5		
󐣱	U+D08F1		
󐭻	U+D0B7B		
󐄏	U+D010F		
󐤌	U+D090C		
󐥵	U+D0975		
󐅳	U+D0173		
󐧂	U+D09C2		
󐦎	U+D098E		
󐱠	U+D0C60		
󰄕	U+F0115		
󐥳	U+D0973		
󐤋	U+D090B		
󐌊	U+D030A		
󐥢	U+D0962		
󐬆	U+D0B06		
󐊝	U+D029D		
󐦕	U+D0995		
󐦟	U+D099F		
󑞭	U+D17AD		
󐀀	U+D0000		
󐔷	U+D0537		
󐔹	U+D0539		
󐮋	U+D0B8B		
󑊄	U+D1284		
󐦄	U+D0984		
󐦋	U+D098B		
󐩥	U+D0A65		
󐤫	U+D092B		
󐤴	U+D0934		
󐪅	U+D0A85		
󐯊	U+D0BCA		
󐱅	U+D0C45		
󑭅	U+D1B45		
󐀣	U+D0023		
󑀛	U+D101B		
󐆮	U+D01AE		
󐊨	U+D02A8		
󐣮	U+D08EE		
󐨐	U+D0A10		
󐫅	U+D0AC5		
󑆝	U+D119D		
󐋮	U+D02EE		
󐍀	U+D0340		
󐔻	U+D053B		
󐩗	U+D0A57		
󐷩	U+D0DE9		
󐍝	U+D035D		
󐤊	U+D090A		
󑀝	U+D101D		
󑂈	U+D1088		
󐑌	U+D044C		
󐩻	U+D0A7B		
󐭝	U+D0B5D		
󐳲	U+D0CF2		
󐷦	U+D0DE6		
󐾨	U+D0FA8		
󑆁	U+D1181		
󑩜	U+D1A5C		
񅒘	U+45498		
󐗑	U+D05D1		
󐤡	U+D0921		
󐤵	U+D0935		
󐬎	U+D0B0E		
󐲋	U+D0C8B		
󐷈	U+D0DC8		
󐺻	U+D0EBB		
󑀼	U+D103C		
󑃧	U+D10E7		
󐂾	U+D00BE		
󐆐	U+D0190		
󐏨	U+D03E8		
󐖷	U+D05B7		
󐤦	U+D0926		
󐬂	U+D0B02		
󐳐	U+D0CD0		
󐳷	U+D0CF7		
󐸢	U+D0E22		
󐹻	U+D0E7B		
󐼎	U+D0F0E		
󐼯	U+D0F2F		
󑄏	U+D110F		
󑛖	U+D16D6		
󑬔	U+D1B14		
𼎎	U+3C38E		
󐆨	U+D01A8		
󐍸	U+D0378		
󐛠	U+D06E0		
󐥑	U+D0951		
󐥨	U+D0968		
󐦉	U+D0989		
󐨠	U+D0A20		
󐬄	U+D0B04		
󐬤	U+D0B24		
󐭀	U+D0B40		
󐷷	U+D0DF7		
󐹅	U+D0E45		
󐿝	U+D0FDD		
󑀘	U+D1018		
󑗆	U+D15C6		
󐄤	U+D0124		
󐋱	U+D02F1		
󐓟	U+D04DF		
󐣽	U+D08FD		
󐤙	U+D0919		
󐤬	U+D092C		
󐥲	U+D0972		
󐨍	U+D0A0D		
󐩙	U+D0A59		
󐬢	U+D0B22		
󐬼	U+D0B3C		
󐭩	U+D0B69		
󐮷	U+D0BB7		
󐯤	U+D0BE4		
󐱽	U+D0C7D		
󑂶	U+D10B6		
󑖦	U+D15A6		
󰌔	U+F0314		
󐓐	U+D04D0		
󐤇	U+D0907		
󐥮	U+D096E		
󐪳	U+D0AB3		
󐬛	U+D0B1B		
󐯑	U+D0BD1		
󐲍	U+D0C8D		
󐴂	U+D0D02		
󐴄	U+D0D04		
󐼠	U+D0F20		
󑀆	U+D1006		
󑀟	U+D101F		
󑓨	U+D14E8		
󑟘	U+D17D8		
󑧄	U+D19C4		
񅆒	U+45192		
񅞇	U+45787		
󐄎	U+D010E		
󐕐	U+D0550		
󐕯	U+D056F		
󐦦	U+D09A6		
󐨁	U+D0A01		
󐪩	U+D0AA9		
󐪫	U+D0AAB		
󐫰	U+D0AF0		
󐭼	U+D0B7C		
󐮢	U+D0BA2		
󐮴	U+D0BB4		
󐳤	U+D0CE4		
󐺚	U+D0E9A		
󐺜	U+D0E9C		
󐽧	U+D0F67		
󐽨	U+D0F68		
󐽷	U+D0F77		
󐾊	U+D0F8A		
󑔍	U+D150D		
󰌳	U+F0333		
񅐍	U+4540D		
󐀊	U+D000A		
󐤠	U+D0920		
󐦈	U+D0988		
󐧆	U+D09C6		
󐨮	U+D0A2E		
󐪶	U+D0AB6		
󐭕	U+D0B55		
󐮼	U+D0BBC		
󐰑	U+D0C11		
󐵑	U+D0D51		
󐸆	U+D0E06		
󐻂	U+D0EC2		
󐼄	U+D0F04		
󐽋	U+D0F4B		
󐾰	U+D0FB0		
󑀙	U+D1019		
󑃊	U+D10CA		
󑆘	U+D1198		
󑉧	U+D1267		
󑒜	U+D149C		
󑩐	U+D1A50		
󑬂	U+D1B02		
񈅈	U+48148		
󈪭	U+C8AAD		
󈫁	U+C8AC1		
󐈃	U+D0203		
